"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","法律法规管理服务-企业内部制度类别","0","0","根据分类id查询指定的分类","0"
"0","","3","法律法规管理服务-企业内部制度类别","0","0","更新企业内部法规分类","0"
"0","","6","法律法规管理服务-企业内部制度类别","4","0","添加企业内部法规分类","0"
"0","WhiskerGuard Regulatory","1","Enterprise Category Management","0","0","Delete Category","0"
"0","","2","法律法规管理服务-企业内部制度类别","0","0","部分更新企业内部法规分类","0"
"0","","1","法律法规管理服务-企业内部制度类别单元测试","0","0","查询分类测试","0"
"0","WhiskerGuard Regulatory","1","Enterprise Category Management","0","0","Partial Update Category","0"
"0","WhiskerGuard Regulatory","0","Enterprise Category Management","2","0","Create Category","0"
"0","","1","法律法规管理服务-企业内部制度类别","0","0","获取企业内部法规分类列表","0"
"1","","1","法律法规管理服务-企业内部制度类别","0","0","删除分类","0"
"0","","1","法律法规管理服务-企业内部制度类别单元测试","0","0","创建分类测试","0"
"1","","0","","0","0","添加企业内部法规分类","0"
"0","","1","法律法规管理服务-企业内部制度类别单元测试","0","0","分类树形结构测试","0"
"0","","1","法律法规管理服务-企业内部制度类别单元测试","0","0","更新分类测试","0"
"0","WhiskerGuard Regulatory","1","Enterprise Category Management","0","0","Update Category","0"
"2","","0","法律法规管理服务-企业内部制度类别","0","0","获取指定租户分类的树形结构","0"
"0","WhiskerGuard Regulatory","0","Enterprise Category Management","1","0","Get Category","0"
"0","","1","法律法规管理服务-企业内部制度类别单元测试","0","0","删除分类测试","0"
"0","","1","法律法规管理服务-企业内部制度类别单元测试","0","0","查询单个分类测试","0"
"0","","1","法律法规管理服务-企业内部制度类别","0","0","删除企业内部法规分类","0"
"0","WhiskerGuard Regulatory","0","Enterprise Category Management","1","0","Get Category Tree","0"
